"用户信息_学段","用户信息_学科","课程信息_年级","教师行为_板书时长","教师行为_讲授时长","教师行为_巡视时长","教师行为_课件操作时长","教师行为_师生对话时长","教师行为_观察时长","学生行为_读写时长","学生行为_举手时长","学生行为_听讲时长","学生行为_生生互动时长","学生行为_应答时长","学生行为_上台展示时长","教学场景_知识讲解时长","教学场景_作业练习时长","教学场景_汇报展示时长","教学场景_小组学习时长","教学场景_师生对话时长","教学场景_知识讲解个数","教学场景_作业练习个数","教学场景_汇报展示个数","教学场景_小组学习个数","教学场景_师生对话个数","教学场景_知识讲解占比","教学场景_作业练习占比","教学场景_汇报展示占比","教学场景_小组学习占比","教学场景_师生对话占比","参与度_总参与度","参与度_知识讲解","参与度_作业练习","参与度_汇报展示","参与度_小组学习","参与度_师生对话","一致性_总一致性","一致性_知识讲解","一致性_作业练习","一致性_汇报展示","一致性_小组学习","一致性_师生对话","抬头率_总抬头率","抬头率_知识讲解","抬头率_作业练习","抬头率_汇报展示","抬头率_小组学习","抬头率_师生对话","活跃度_总活跃度","活跃度_知识讲解","活跃度_作业练习","活跃度_汇报展示","活跃度_小组学习","活跃度_师生对话","知识讲解场景_话语讲授时长","知识讲解场景_板书时长","知识讲解场景_课件操作时长","知识讲解场景_互动时长","知识讲解场景_停顿时长","知识讲解场景_话语讲授占比","知识讲解场景_板书占比","知识讲解场景_课件操作占比","知识讲解场景_互动占比","知识讲解场景_停顿占比","知识讲解场景_平均语速分钟个数","知识讲解场景_最低语速分钟个数","知识讲解场景_最高语速分钟个数","知识讲解场景_口头禅个数","知识讲解场景_口头禅总次数","知识讲解场景_巡视时长(分钟)","知识讲解场景_巡视次数","知识讲解场景_巡视位置是否均衡","师生对话场景_老师话语时长","师生对话场景_学生直接应答时长","师生对话场景_学生站立应答时长","师生对话场景_齐答时长","师生对话场景_沉寂混乱时长","师生对话场景_老师话语占比","师生对话场景_学生直接应答占比","师生对话场景_学生站立应答占比","师生对话场景_齐答占比","师生对话场景_沉寂混乱占比","全课堂_师生对话次数","全课堂_短应答次数","全课堂_长应答次数","全课堂_齐答次数","全课堂_声音过低次数","全课堂_短应答占比","全课堂_长应答占比","全课堂_齐答占比","全课堂_声音过低占比","全课堂_应答时长<1秒次数","全课堂_应答时长1-2秒次数","全课堂_应答时长2-3秒次数","全课堂_应答时长3-4秒次数","全课堂_应答时长>4秒次数","全课堂_举手次数","全课堂_举手人次","全课堂_1人举手次数","全课堂_2-3人举手次数","全课堂_4-6人举手次数","全课堂_7-10人举手次数","全课堂_>10人举手次数","全课堂_站立应答次数","全课堂_站立应答分布是否均衡","课堂问题_总个数","课堂问题_是何问题个数","课堂问题_为何问题个数","课堂问题_如何问题个数","课堂问题_若何问题个数","课堂问题_其他问题个数","课堂问题_是何问题占比","课堂问题_为何问题占比","课堂问题_如何问题占比","课堂问题_若何问题占比","课堂问题_其他问题占比","ST分析_是否有长达2以上的学生主导时间","ST分析_是否有长达1以上的老师主导时间","ST分析_Rt值是否在0.35~0.6之间","ST分析_Ch值是否在0.3~0.5之间","ST分析_教师占有率","ST分析_学生占有率","ST分析_师生行为转换率"
"初中","英语","初一",4,1485,1392,99,538,0,69,12,2276,18,185,0,1815,160,0,18,538,17,4,0,1,15,72.0,6.3,0,0.7,21.3,65.9,66.6,55.8,0,81.8,66.0,57.0,56.1,43.9,0,28.6,64.7,37.8,42.6,18.1,0,3.8,28.5,30.6,26.6,83.6,0,99.8,25.7,1447,4,99,138,257,76.1,0.2,5.5,7.6,14.2,345,152,1210,3,43,23,21,0,94,166,18,1,259,17.5,30.9,3.3,0.2,48.1,5,2,2,0,1,40.0,40.0,0.0,20.0,0,2,1,0,1,0,0,0,0,0,0,0,1,1,110,12,7,4,0,87,11,6,4,0,79,0,0,0,0,0.84,0.16,0.18
"初中","英语","初一",222,406,488,0,467,0,95,77,1682,607,128,0,504,933,0,607,467,19,26,0,6,26,20.0,37.0,0,24.1,18.5,73.7,68.8,63.5,0,97.1,69.0,57.6,54.8,57.1,0,52.0,68.8,53.0,63.1,48.2,0,64.0,37.3,36.8,31.6,44.3,0,35.7,28.9,387,111,0,19,171,58.5,22.0,0.0,3.8,33.9,285,103,984,3,42,8,26,0,26,122,5,1,313,5.6,26.1,1.1,0.2,67.0,3,2,0,0,1,66.7,0.0,0.0,33.3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,25,3,0,1,0,21,12,0,4,0,84,1,0,0,0,0.24,0.76,0.21
"初中","英语","初三",244,1179,552,15,573,0,91,4,2279,13,170,0,1345,583,0,13,573,31,18,0,1,29,53.4,23.1,0,0.5,22.7,68.3,67.2,71.9,0,85.5,66.9,58.0,55.6,65.3,0,51.4,56.2,45.4,45.3,44.5,0,67.9,46.2,23.2,22.2,26.9,0,20.8,22.0,1154,148,15,42,262,75.5,11.0,1.1,3.1,19.5,265,140,530,3,89,9,20,0,148,142,27,1,255,25.8,24.8,4.7,0.2,44.5,15,7,7,1,0,46.7,46.7,6.7,0.0,1,6,3,3,1,2,0,2,0,0,0,0,2,0,56,11,9,4,0,32,20,16,7,0,57,0,0,1,0,0.55,0.45,0.27
"初中","数学","初四",487,1626,884,0,328,0,46,4,2293,116,68,0,1866,200,0,116,328,22,3,0,4,18,74.0,7.9,0,4.6,13.0,69.3,67.0,78.7,0,93.2,68.2,55.6,55.5,69.7,0,43.2,52.2,40.6,38.6,37.3,0,34.3,56.6,23.3,21.0,22.1,0,62.5,22.8,1586,300,0,86,414,71.1,16.1,0.0,4.6,22.2,307,140,1592,3,126,14,8,0,110,67,1,0,150,33.5,20.4,0.3,0.0,45.7,10,4,6,0,0,40.0,60.0,0.0,0.0,2,2,5,0,1,2,0,2,0,0,0,0,1,0,192,66,7,6,1,112,34,4,3,1,58,0,0,0,0,0.74,0.26,0.22
"初中","英语","初四",0,793,224,329,935,0,175,36,1627,352,365,0,905,319,0,352,935,24,10,0,16,27,35.9,12.7,0,14.0,37.1,80.8,80.6,86.2,0,93.3,74.4,71.3,67.2,79.2,0,67.5,74.0,57.9,76.8,24.8,0,86.4,40.1,19.1,16.7,16.8,0,26.0,19.7,538,0,329,46,140,51.3,0.0,36.4,5.1,15.5,415,155,879,3,30,3,22,1,75,357,5,3,495,8.0,38.2,0.5,0.3,52.9,6,1,4,1,0,16.7,66.7,16.7,0.0,0,1,2,0,2,2,0,1,1,0,0,0,2,0,39,14,2,0,0,23,36,5,0,0,59,0,0,1,0,0.48,0.52,0.21
"初中","语文","初二",16,573,1600,0,120,0,10,16,2510,0,16,0,666,1749,0,0,120,22,31,0,0,10,26.4,69.4,0,0.0,4.8,77.1,68.4,80.9,0,0.0,69.4,73.4,73.4,73.8,0,0.0,67.6,32.2,26.6,34.3,0,0.0,32.2,29.5,29.4,29.4,0,0.0,31.7,573,16,0,30,79,83.6,2.4,0.0,4.5,11.9,247,138,432,3,61,26,24,0,47,15,1,0,57,39.2,12.5,0.8,0.0,47.5,7,1,2,1,3,14.3,28.6,14.3,42.9,0,1,1,0,1,1,0,1,0,0,0,0,6,1,53,12,2,1,1,37,23,4,2,2,70,0,0,0,0,0.32,0.68,0.19
"初中","数学","初四",280,778,1484,0,292,0,17,0,2478,0,43,0,968,1254,0,0,292,23,24,0,0,17,38.4,49.8,0,0.0,11.6,65.2,67.0,63.5,0,0.0,66.5,63.6,69.6,56.8,0,0.0,73.1,24.2,25.4,24.6,0,0.0,18.2,34.4,23.2,46.0,0,0.0,21.7,716,221,0,83,266,57.5,22.8,0.0,8.6,27.5,270,146,593,3,67,24,9,1,133,38,5,0,116,45.5,13.0,1.7,0.0,39.7,8,2,1,0,5,25.0,12.5,0.0,62.5,0,2,1,0,0,0,0,0,0,0,0,0,6,0,157,54,3,3,2,95,34,2,2,1,61,1,0,1,0,0.48,0.52,0.26
"初中","语文","初四",44,1654,708,353,478,0,118,4,2119,179,120,0,1806,68,0,179,478,18,5,0,6,20,71.7,2.7,0,7.1,19.0,72.4,72.7,61.5,0,94.7,64.5,58.1,59.2,53.4,0,63.3,52.6,73.9,77.1,61.2,0,70.8,64.9,19.2,18.2,22.5,0,32.1,17.9,1604,29,353,56,423,70.4,1.6,19.5,3.1,23.4,289,131,547,3,176,11,18,0,76,68,50,2,282,15.9,14.2,10.5,0.4,59.0,12,3,5,0,4,25.0,41.7,0.0,33.3,0,3,1,2,2,0,0,0,0,0,0,0,9,0,120,43,2,3,1,71,36,2,3,1,59,0,1,0,0,0.73,0.27,0.15
"初中","数学","初二",309,1003,448,208,616,0,53,120,2225,173,117,0,1265,460,0,173,616,34,8,0,7,31,50.2,18.3,0,6.9,24.4,71.4,71.0,67.9,0,86.0,70.7,53.8,53.1,62.6,0,47.5,50.6,83.9,92.6,61.1,0,67.5,87.5,22.9,20.8,32.6,0,22.8,20.1,883,149,208,118,381,51.1,11.8,16.4,9.3,30.1,259,128,524,3,54,7,21,0,174,101,15,1,325,28.2,16.4,2.4,0.2,52.8,18,9,3,2,4,50.0,16.7,11.1,22.2,3,6,3,0,0,1,0,1,0,0,0,0,7,0,84,36,6,3,3,36,43,7,4,4,43,0,0,1,0,0.59,0.41,0.28
"初中","语文","初三",56,1421,1184,57,136,0,13,56,2329,155,25,0,1649,570,0,155,136,22,18,0,2,12,65.4,22.6,0,6.2,5.4,70.2,67.5,71.3,0,96.7,67.2,57.2,56.8,61.2,0,51.3,52.0,40.6,39.4,44.3,0,36.9,45.2,25.8,23.4,30.9,0,33.9,24.9,1399,44,57,55,252,80.0,2.7,3.5,3.3,15.3,256,168,416,3,67,19,33,0,36,12,12,1,75,26.5,8.8,8.8,0.7,55.1,2,1,0,0,1,50.0,0.0,0.0,50.0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,52,12,4,0,0,36,23,8,0,0,69,0,0,0,0,0.63,0.37,0.2
"初中","语文","初一",19,1837,548,208,476,0,77,148,2187,81,194,0,1916,37,0,81,476,23,2,0,4,24,76.0,1.5,0,3.2,18.9,71.9,71.0,68.5,0,87.6,73.1,50.6,50.4,49.0,0,50.0,51.8,69.5,69.7,74.3,0,56.7,70.3,21.0,20.8,26.2,0,25.2,21.0,1817,19,208,37,249,84.0,1.0,10.9,1.9,13.0,295,159,542,3,88,9,19,1,113,110,84,0,169,23.7,23.1,17.6,0.0,35.5,13,1,10,0,2,7.7,76.9,0.0,15.4,0,1,4,3,3,3,0,3,0,0,0,0,8,0,68,10,3,2,1,52,15,4,3,2,77,0,0,0,0,0.81,0.19,0.15
"初中","英语","初一",8,1235,1364,76,308,0,37,15,2299,124,76,0,1466,617,0,124,308,24,10,0,6,16,58.2,24.5,0,4.9,12.2,72.3,68.3,79.8,0,89.1,69.8,62.4,57.3,76.0,0,55.8,62.5,50.8,60.7,28.4,0,48.6,49.2,28.6,27.9,29.9,0,28.4,29.2,1225,4,76,84,217,78.8,0.3,5.2,5.7,14.8,391,170,1215,3,36,22,15,0,113,65,10,1,119,36.7,21.1,3.2,0.3,38.6,15,4,6,1,4,26.7,40.0,6.7,26.7,3,1,3,1,2,3,0,2,1,0,0,0,7,0,106,17,0,1,1,87,16,0,1,1,82,0,0,0,0,0.64,0.36,0.2
"初中","语文","初一",219,968,924,111,482,0,37,16,2349,55,98,0,1240,741,0,55,482,29,24,0,3,27,49.2,29.4,0,2.2,19.1,69.4,68.7,69.7,0,91.1,68.2,56.3,54.1,60.7,0,58.3,54.8,57.3,58.5,55.7,0,75.1,54.5,28.6,28.5,28.4,0,40.8,27.9,912,75,111,99,303,63.1,6.0,9.0,8.0,24.4,212,122,437,3,93,15,20,0,177,66,9,23,207,36.7,13.7,1.9,4.8,42.9,14,5,1,5,3,35.7,7.1,35.7,21.4,1,4,0,0,1,2,0,1,0,1,0,0,6,0,90,27,5,2,2,54,30,6,2,2,60,0,0,1,0,0.54,0.46,0.28
"初中","英语","初二",197,191,724,35,1226,0,215,81,1485,389,396,0,295,602,0,389,1226,12,17,0,11,28,11.7,23.9,0,15.4,48.7,69.3,69.8,51.7,0,94.2,70.0,53.1,54.7,52.1,0,54.6,52.8,91.1,94.5,95.1,0,95.1,87.1,31.2,28.3,33.5,0,30.6,31.0,152,5,35,37,68,51.2,1.7,11.9,12.5,23.1,662,234,1000,3,81,12,37,0,97,254,63,79,733,7.9,20.7,5.1,6.4,59.8,14,2,4,7,1,14.3,28.6,50.0,7.1,0,2,4,0,0,3,0,2,1,0,0,0,1,0,1,1,0,0,0,0,100,0,0,0,0,1,0,0,0,0.17,0.83,0.19
"初中","语文","初一",0,1725,0,37,100,0,2009,0,0,497,13,0,1914,0,0,497,100,19,0,0,16,6,76.0,0.0,0,19.7,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1711,0,37,71,141,88.2,0.0,1.9,3.7,7.4,266,88,486,3,100,0,0,0,45,13,0,0,42,45.0,13.0,0.0,0.0,42.0,2,2,0,0,0,100.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,120,37,9,6,2,66,31,8,5,2,55,0,0,0,0,0.75,0.25,0.18
"初中","数学","初二",338,666,1332,0,696,0,67,38,1884,483,117,0,859,476,0,483,696,26,12,0,11,31,34.1,18.9,0,19.2,27.6,69.9,68.9,48.0,0,94.1,69.3,53.5,52.6,51.4,0,57.2,53.5,87.3,87.1,85.2,0,88.2,88.4,31.8,27.7,44.9,0,28.4,30.4,614,202,0,60,283,54.0,23.5,0.0,7.0,32.9,246,123,642,3,60,22,12,0,207,107,8,2,372,29.7,15.4,1.1,0.3,53.4,16,9,4,1,2,56.2,25.0,6.2,12.5,3,6,2,0,2,3,0,1,2,0,0,0,3,0,65,23,3,1,0,38,35,5,2,0,59,0,0,1,1,0.4,0.6,0.3
"初中","数学","初四",248,1103,1864,168,925,0,78,12,2164,139,218,0,1421,25,0,139,925,41,3,0,2,39,56.4,1.0,0,5.5,36.7,68.6,66.8,69.4,0,96.2,67.1,50.9,50.7,56.0,0,47.0,51.8,53.0,53.1,56.1,0,19.4,57.7,27.6,23.7,26.2,0,90.4,24.1,994,144,168,199,316,55.7,10.1,11.8,14.0,22.2,308,130,766,3,185,31,11,1,407,196,20,2,300,44.0,21.2,2.2,0.2,32.4,41,14,16,3,8,34.1,39.0,7.3,19.5,4,10,10,3,3,2,0,1,1,0,0,0,17,1,201,73,10,7,0,111,36,5,4,0,55,0,0,0,0,0.73,0.27,0.32
"初中","数学","初四",213,1011,640,204,702,0,63,0,2255,111,134,0,1293,408,0,111,702,38,15,0,6,37,51.3,16.2,0,4.4,27.9,71.9,69.4,66.4,0,93.2,76.1,57.5,56.1,57.8,0,58.4,59.8,79.3,83.4,57.7,0,93.2,82.2,23.5,20.1,37.8,0,21.8,21.8,893,128,204,142,353,52.5,9.9,15.8,11.0,27.3,262,84,476,3,113,10,32,0,241,98,29,7,327,34.3,14.0,4.1,1.0,46.6,18,10,2,3,3,55.6,11.1,16.7,16.7,3,7,2,0,0,0,0,0,0,0,0,0,7,0,77,15,1,1,2,58,20,1,1,3,75,0,0,0,0,0.61,0.39,0.34
"初中","数学","初三",32,1378,708,401,327,0,51,4,1832,582,58,0,1550,55,0,582,327,27,2,0,18,17,61.5,2.2,0,23.1,13.0,76.3,71.4,68.0,0,92.4,72.4,56.7,55.9,59.2,0,57.7,57.8,80.0,82.3,43.5,0,74.0,86.1,25.1,22.9,31.1,0,31.9,23.0,1308,23,401,43,483,61.5,1.5,25.9,2.8,31.2,249,120,472,3,171,11,34,0,75,40,15,3,194,22.9,12.2,4.6,0.9,59.3,12,6,5,1,0,50.0,41.7,8.3,0.0,1,5,5,0,0,0,0,0,0,0,0,0,8,0,108,67,4,4,0,33,62,4,4,0,31,0,0,0,0,0.62,0.38,0.21
"初中","英语","初三",0,1323,0,0,115,0,1705,0,0,797,12,0,1594,0,0,797,115,25,0,0,18,9,63.3,0.0,0,31.6,4.6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1323,0,0,106,165,83.0,0.0,0.0,6.7,10.4,423,154,1344,3,135,0,0,0,53,12,0,0,50,46.1,10.4,0.0,0.0,43.5,1,1,0,0,0,100.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,131,30,11,6,3,81,23,8,5,2,62,1,0,0,0,0.63,0.37,0.18
"初中","英语","初二",69,889,2120,0,419,0,12,16,2486,0,68,0,1149,946,0,0,419,15,20,0,0,15,45.6,37.5,0,0.0,16.6,72.2,66.4,81.3,0,0.0,67.4,72.9,68.5,76.6,0,0.0,76.5,32.1,36.9,28.4,0,0.0,27.0,26.6,24.4,31.5,0,0.0,21.9,878,38,0,105,182,74.1,3.3,0.0,9.1,15.8,245,114,444,3,112,35,11,0,215,65,3,0,136,51.3,15.5,0.7,0.0,32.5,10,1,2,0,7,10.0,20.0,0.0,70.0,1,0,2,0,0,1,0,1,0,0,0,0,8,0,59,16,2,1,1,39,27,3,2,2,66,0,0,0,0,0.71,0.29,0.28
"初中","语文","初一",17,155,616,0,147,0,8,3,2302,199,18,0,219,1950,0,199,147,10,1,0,5,8,8.7,77.4,0,7.9,5.8,91.3,73.0,94.2,0,95.1,74.5,79.8,47.2,89.6,0,45.1,44.7,21.3,47.1,14.2,0,40.8,50.6,23.3,33.2,18.5,0,53.3,31.1,155,0,0,18,46,70.8,0.0,0.0,8.2,21.0,254,155,354,2,10,10,17,0,64,2,16,0,65,43.5,1.4,10.9,0.0,44.2,15,0,2,0,13,0.0,13.3,0.0,86.7,0,0,2,0,0,1,0,1,0,0,0,0,15,1,11,1,1,0,0,9,9,9,0,0,82,1,0,0,0,0.12,0.88,0.07
